Categories;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
Sample times;0;6711;15112;23541;35168;43300;55053;64613;70223;79198;89595;97708;106909;114942;120847;125227;133009;142186;150132;156301;160371;166823;173571;183718;189949;196405;203353;214054;222334;231446;240421;249829;255699;262695;271434;278949;285466;294067;302405;310887;318614;326420;335074;347329;359273;366929;375465;384600;394073;402393;410727;415938;418675;425535;431036;435006;440199;446047;452809;458973;466571;472652;480335;486507;493115;498347;505446;511343;516339;522663;529742;535758;541961;548681;555370;560662;567260;571540;576232;582776;587878;592575;598358;605746;612217;619798;624242;629864;634034;641511;646666;652106;657750;664947;672834;684127;691536;699745;708650;713820;721035;728857;734346;742295;747477;754639;760262;767500;774561;781405;786735;791820;798399;804513;811442;816968;824314;832132;838763;842813;849231;855237;860902;866313;870383;888840;895666;905765;911334;917407;922834;927454;933096;937314;942141;948365;954973;961086;965839;971479;978535;985274;991733;999847;1006778;1014038;1020264;1026377;1032054;1037982;1043561

timestamps;neuron tags
59955;7
71269;7
78054;7
105612;2
106276;7
140307;7
145603;7
147227;7
151715;7
152671;7
159480;7
170267;7
171785;4
174445;4
176003;4
176350;6
181014;6
186929;6
187349;6
187616;6
187942;6
188707;10
190109;10
190584;10
192605;10
193420;10
194187;10
203444;10
203941;10
204971;10
214608;10
214940;10
227270;10
227553;10
229428;10
232474;10
232929;10
233419;10
233703;10
234022;10
236287;10
243973;10
244308;10
244579;5
245015;8
248441;8
255631;8
261887;8
278141;8
287956;8
290195;8
290542;8
290947;8
293259;8
304682;8
305795;8
306216;8
306456;8
311400;8
313100;8
313535;5
356518;5
363783;5
375246;5
376397;5
376670;5
377187;5
377427;5
378313;5
381716;5
389739;5
391027;5
392259;5
393349;5
393631;1
416051;1
419850;1
425548;1
426665;1
429308;1
430086;1
430326;1
443161;1
451056;1
454324;1
455326;1
455964;1
457283;1
457562;1
459717;1
459957;1
461798;1
463492;1
463732;1
470006;1
470825;1
475610;1
475850;1
476261;1
478692;1
479283;1
480757;1
480998;1
497509;1
501160;1
504133;1
504649;1
504972;1
505256;1
521729;1
524718;1
527096;1
528379;1
533520;11
538782;11
540342;11
540711;11
545165;11
545573;11
546055;11
546454;11
548785;11
549108;11
549440;11
558711;11
559218;11
559633;11
564738;11
565298;11
578108;11
579141;9
579381;9
579716;9
580193;9
581112;9
582439;9
588194;9
590040;9
598717;9
599051;9
600477;9
601993;9
602498;9
605596;9
624935;9
630376;9
631326;9
631600;9
632368;9
632720;9
634322;9
641605;9
642191;9
649412;9
650303;9
651425;9
652839;9
653079;9
664134;9
671210;9
674620;9
675600;9
676611;9
676851;9
678114;9
678354;9
687132;9
687962;9
691174;9
691517;9
697117;9
698610;9
701630;3
708964;3
709204;3
721074;3
722220;3
722469;3
722853;3
738578;3
768668;3
773211;3
785875;3
792686;3
794300;3
799828;3
802019;3
803018;3
803310;3
806768;3
807176;3
813419;3
814698;3
815479;3
816183;3
821146;3
823239;3
825867;3
826459;3
829039;3
829502;3
829763;3
833828;3
849002;3
849470;3
861827;3
862196;3
862436;3
862689;3
862929;3
867677;3
868752;3
881965;3
896588;3
906970;3
907619;3
907860;3
909423;3
911492;2
919584;2
919826;2
920358;2
920911;2
921654;2
921968;2
925108;2
925393;2
928353;2
940384;2
943182;2
944479;2
948291;2
956168;2
964758;2
965202;2
968562;2
976073;2
976883;2
978779;2
981953;2
987173;2
994272;2
994602;2
997360;2
997780;2
998627;2
999431;2
1004459;6
1004785;6
1006837;6
1027014;6
1041274;6
1041514;6
1041820;6
